Passing students: 
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
Carpenter 73.6
